architecture,head,granularity,split,macro_f1
lstm,regression,pooled,val,0.354504150861129
lstm,classification,pooled,val,0.48870426515224236
gru,regression,pooled,val,0.3438717857706335
gru,classification,pooled,val,0.49166677725554525
tcn,regression,pooled,val,0.17882484992077793
tcn,classification,pooled,val,0.49314939558744997
cnn1d,regression,pooled,val,0.3800161343035045
cnn1d,classification,pooled,val,0.49669572323246564
transformer,regression,pooled,val,0.24780252675128298
transformer,classification,pooled,val,0.49297985742329037
cnn1d,classification,pooled,test,0.4936847477344453
lstm,regression,per_stock,val,0.28411832765015343
lstm,classification,per_stock,val,0.24920580598528003
gru,regression,per_stock,val,0.297165661736304
gru,classification,per_stock,val,0.2721221444591226
tcn,regression,per_stock,val,0.24742978518982692
tcn,classification,per_stock,val,0.23425813943505994
cnn1d,regression,per_stock,val,0.281461261578179
cnn1d,classification,per_stock,val,0.2626782379253735
transformer,regression,per_stock,val,0.3010799992666689
transformer,classification,per_stock,val,0.25227750167915264
